half,NN
a,DT
million,CD
cutprice,NN
cauliflowers,NNS
are,VBP
set,VBN
to,TO
hit,VB
supermarket,NN
shelves,NNS
in,IN
the,DT
next,JJ
two,CD
weeks,NNS
because,IN
of,IN
harvesting,NN
delays,NNS
the,DT
humble,JJ
white,JJ
vegetable,JJ
commonly,RB
served,VBD
doused,VBN
in,IN
cheese,NN
is,VBZ
usually,RB
a,DT
family,NN
favourite,NN
on,IN
christmas,NN
dinner,NN
tables,NNS
but,CC
farmers,NNS
say,VBP
their,PRP$
cauliflower,NN
crops,NNS
which,WDT
are,VBP
usually,RB
harvested,VBN
at,IN
the,DT
end,NN
of,IN
october,NN
have,VBP
only,RB
just,RB
flowered,VBN
growers,NNS
have,VBP
blamed,VBN
the,DT
late,JJ
harvest,NN
on,IN
some,DT
of,IN
the,DT
worst,JJS
growing,VBG
conditions,NNS
for,IN
many,JJ
years,NNS
because,IN
of,IN
a,DT
shortage,NN
retailers,NNS
were,VBD
forced,VBN
to,TO
ship,VB
in,IN
cauliflowers,NNS
from,IN
europe,NN
in,IN
a,DT
bid,NN
to,TO
meet,VB
the,DT
festive,JJ
demand,NN
but,CC
consumers,NNS
are,VBP
now,RB
set,VBN
to,TO
benefit,VB
with,IN
supermarket,NN
tesco,NN
slashing,VBG
the,DT
price,NN
of,IN
the,DT
vegetable,NN
in,IN
a,DT
bid,NN
to,TO
clear,VB
the,DT
postchristmas,NN
surplus,NN
it,PRP
means,VBZ
savvy,JJ
shoppers,NNS
will,MD
be,VB
able,JJ
to,TO
snap,VB
up,RP
cauliflowers,NNS
for,IN
30p,CD
cheaper,JJR
than,IN
normal,JJ
over,IN
the,DT
next,JJ
fortnight,JJ
family,NN
brassica,NN
also,RB
known,VBN
as,IN
the,DT
mustard,NN
family,NN
originally,RB
grown,VBN
in,IN
asia,NN
and,CC
around,IN
the,DT
mediterranean,JJ
sea,NN
in,IN
western,JJ
europe,NN
it,PRP
became,VBD
popularly,RB
associated,VBN
with,IN
cyprus,NN
in,IN
the,DT
12th,JJ
century,NN
and,CC
seeds,NNS
were,VBD
apparently,RB
shipped,VBN
from,IN
there,EX
typically,RB
sown,JJ
anytime,RB
from,IN
february,JJ
to,TO
may,MD
but,CC
typically,RB
in,IN
april,NN
harvested,VBN
typically,RB
around,IN
october,NNP
to,TO
november,VB
in,IN
the,DT
uk,NN
where,WRB
are,VBP
most,RBS
grown,JJ
china,NN
is,VBZ
the,DT
world,NN
’,NN
s,NN
leading,VBG
producer,NN
of,IN
cauliflower,JJR
the,DT
good,JJ
stuff,NN
cauliflower,NN
is,VBZ
a,DT
good,JJ
source,NN
of,IN
vitamin,NN
c,NN
best,RBS
known,VBN
uk,JJ
recipe,NN
cauliflower,NN
cheese,NN
produce,VBP
buying,NN
manager,NN
sam,JJ
miller,NN
who,WP
works,VBZ
at,IN
tesco,NN
who,WP
have,VBP
vowed,VBN
to,TO
help,VB
manage,VB
the,DT
surplus,NN
said,VBD
cauliflower,JJR
is,VBZ
one,CD
of,IN
the,DT
festive,JJ
vegetables,NNS
that,WDT
is,VBZ
extremely,RB
popular,JJ
with,IN
christmas,NN
dinner,NN
and,CC
as,IN
a,DT
result,NN
we,PRP
order,NN
much,RB
more,RBR
for,IN
december,NNP
back,RB
in,IN
november,NN
we,PRP
heard,VBD
that,IN
our,PRP$
suppliers,NNS
were,VBD
not,RB
going,VBG
to,TO
be,VB
able,JJ
to,TO
meet,VB
our,PRP$
orders,NNS
as,IN
a,DT
result,NN
of,IN
the,DT
crop,NN
failure,NN
causing,VBG
severe,JJ
issues,NNS
across,IN
the,DT
whole,JJ
uk,JJ
market,NN
but,CC
the,DT
good,JJ
news,NN
is,VBZ
that,IN
a,DT
bumper,JJ
crop,NN
of,IN
british,JJ
cauliflowers,NNS
are,VBP
now,RB
