the,DT
first,JJ
aircraft,NN
carrying,VBG
humanitarian,JJ
supplies,NNS
arrived,VBN
in,IN
tonga,NN
on,IN
thursday,JJ
five,CD
days,NNS
after,IN
the,DT
south,JJ
pacific,JJ
island,NN
nation,NN
was,VBD
hit,VBN
by,IN
a,DT
volcanic,JJ
eruption,NN
and,CC
tsunami,NN
that,WDT
devastated,VBD
communities,NNS
and,CC
spoiled,VBD
most,JJS
of,IN
its,PRP$
drinking,NN
water,NN
with,IN
some,DT
communication,NN
lines,NNS
restored,VBD
details,NNS
of,IN
the,DT
destruction,NN
were,VBD
becoming,VBG
clearer,NN
but,CC
accounts,NNS
of,IN
dramatic,JJ
escapes,NNS
also,RB
emerged,VBD
the,DT
delivery,NN
of,IN
the,DT
aid,NN
brought,VBN
in,IN
by,IN
aircraft,NN
from,IN
australia,NNS
and,CC
new,JJ
zealand,NN
was,VBD
contactless,NN
to,TO
ensure,VB
tonga,NN
remains,VBZ
free,JJ
of,IN
the,DT
coronavirus,NN
the,DT
flights,NNS
were,VBD
carrying,VBG
water,NN
containers,NNS
kits,NNS
for,IN
temporary,JJ
shelters,NNS
generators,NNS
hygiene,VBP
supplies,NNS
and,CC
communications,NNS
equipment,NN
a,DT
royal,JJ
new,JJ
zealand,NNP
air,NN
force,NN
c130,NN
hercules,NNS
landed,VBD
in,IN
tonga,NN
’,NNP
s,NN
fua,NN
’,NNP
amotu,VBZ
international,JJ
airport,NN
a,DT
defense,NN
spokesperson,NN
said,VBD
after,IN
a,DT
blanket,NN
of,IN
volcanic,JJ
ash,NN
was,VBD
cleared,VBN
off,RP
the,DT
runway,NN
an,DT
australian,JJ
globemaster,NN
military,JJ
transport,NN
aircraft,NN
also,RB
landed,VBD
rear,JJ
admiral,JJ
james,NNS
gilmour,VBP
the,DT
commander,NN
of,IN
new,JJ
zealand,NNP
’,NNP
s,VBD
joint,JJ
forces,NNS
said,VBD
there,EX
had,VBD
been,VBN
a,DT
“,JJ
mammoth,NN
effort,NN
”,NN
by,IN
tongan,JJ
troops,NNS
“,VBP
to,TO
clear,VB
that,IN
runway,NN
by,IN
hand,NN
and,CC
they,PRP
’,VBP
ve,NNS
achieved,VBD
that,IN
this,DT
afternoon,NN
”,VBZ
the,DT
hunga,NN
tongahunga,NN
ha,NN
’,NNP
apai,VBZ
volcano,NN
erupted,VBD
with,IN
a,DT
deafening,VBG
explosion,NN
on,IN
saturday,JJ
sending,VBG
tsunami,NN
waves,NNS
rolling,VBG
across,IN
the,DT
archipelago,NN
that,WDT
killed,VBD
at,IN
least,JJS
three,CD
people,NNS
and,CC
destroyed,JJ
villages,NNS
resorts,NNS
and,CC
many,JJ
buildings,NNS
and,CC
knocked,VBD
out,RP
communications,NNS
for,IN
the,DT
nation,NN
of,IN
about,RB
105000,CD
people,NNS
rachael,VBP
moore,RB
australia,JJ
’,NNP
s,NN
high,JJ
commissioner,NN
to,TO
tonga,VB
said,VBD
the,DT
loss,NN
of,IN
property,NN
had,VBD
been,VBN
“,NNP
catastrophic,JJ
”,NNP
“,NNP
along,IN
the,DT
western,JJ
beaches,NNS
there,EX
is,VBZ
a,DT
moonscape,NN
where,WRB
once,RB
beautiful,JJ
resorts,NNS
and,CC
many,JJ
many,JJ
homes,NNS
stood,VBD
”,NNP
moore,NN
told,VBD
australian,JJ
radio,NN
adding,VBG
that,IN
drinking,NN
water,NN
was,VBD
“,NNP
an,DT
extremely,RB
high,JJ
priority,NN
”,NNP
telephone,NN
links,NNS
between,IN
tonga,NN
and,CC
the,DT
outside,JJ
world,NN
were,VBD
reconnected,VBN
late,RB
on,IN
wednesday,JJ
though,IN
restoring,VBG
full,JJ
internet,NN
services,NNS
was,VBD
likely,JJ
to,TO
take,VB
a,DT
month,NN
or,CC
more,JJR
according,VBG
to,TO
the,DT
owner,NN
of,IN
the,DT
archipelago,NN
’,NNP
s,NN
sole,NN
subsea,NN
communications,NNS
cable,NN
meanwhile,JJ
tales,NNS
of,IN
miraculous,JJ
escapes,NNS
including,VBG
that,IN
of,IN
a,DT
“,JJ
real,JJ
life,NN
aquaman,NN
”,VBP
emerged,VBN
from,IN
the,DT
islands,NNS
a,DT
57yearold,CD
tongan,JJ
man,NN
was,VBD
being,VBG
hailed,VBN
after,IN
recounting,VBG
how,WRB
he,PRP
had,VBD
to,TO
swim,VB
at,IN
sea,NN
for,IN
about,IN
27,CD
hours,NNS
after,IN
being,VBG
swept,VBN
away,RB
by,IN
the,DT
tsunami,NN
lisala,NN
folau,NN
who,WP
lived,VBD
on,IN
the,DT
small,JJ
isolated,JJ
island,NN
of,IN
atata,NN
which,WDT
has,VBZ
a,DT
population,NN
of,IN
about,IN
60,CD
people,NNS
was,VBD
swept,VBN
out,RP
to,TO
sea,VB
when,WRB
the,DT
waves,NNS
hit,VBD
land,NN
at,IN
about,IN
7,CD
pm,NN
on,IN
saturday,NN
he,PRP
said,VBD
in,IN
a,DT
radio,NN
interview,NN
to,TO
tongan,VB
media,NNS
agency,NN
broadcom,IN
broadcasting,VBG
folau,NN
said,VBD
he,PRP
was,VBD
painting,VBG
his,PRP$
home,NN
when,WRB
he,PRP
was,VBD
alerted,VBN
about,IN
the,DT
tsunami,NN
by,IN
his,PRP$
brother,NN
and,CC
soon,RB
the,DT
waves,NNS
had,VBD
gone,VBN
through,IN
his,PRP$
lounge,NN
he,PRP
climbed,VBD
on,IN
a,DT
tree,NN
to,TO
escape,VB
but,CC
when,WRB
he,PRP
got,VBD
down,RB
another,DT
big,JJ
wave,NN
swept,VBD
him,PRP
away,RB
he,PRP
said,VBD
the,DT
57yearold,CD
said,VBD
he,PRP
is,VBZ
disabled,JJ
and,CC
can,MD
not,RB
walk,VB
properly,RB
“,NNP
i,NN
just,RB
floated,VBN
bashed,VBN
around,IN
by,IN
the,DT
big,JJ
waves,NNS
that,WDT
kept,VBD
coming,VBG
”,NN
he,PRP
told,VBD
the,DT
radio,NN
station,NN
folau,NN
said,VBD
he,PRP
kept,VBD
floating,VBG
and,CC
slowly,RB
managed,VBN
to,TO
swim,VB
47,CD
miles,NNS
to,TO
the,DT
main,JJ
island,NN
of,IN
tongatapu,NN
reaching,VBG
the,DT
shore,NN
27,CD
hours,NNS
later,RB
at,IN
about,RB
10,CD
pm,NNS
on,IN
sunday,JJ
reuters,NNS
was,VBD
unable,JJ
to,TO
contact,VB
folau,NN
or,CC
verify,VB
the,DT
events,NNS
the,DT
story,NN
of,IN
folau,JJ
’,NNP
s,NN
heroics,NNS
went,VBD
viral,JJ
among,IN
tongan,JJ
groups,NNS
on,IN
facebook,NN
and,CC
other,JJ
social,JJ
media,NNS
“,JJ
real,JJ
life,NN
aquaman,NN
”,NNP
said,VBD
one,CD
post,NN
on,IN
facebook,NN
referring,VBG
to,TO
the,DT
comic,JJ
book,NN
and,CC
film,NN
chracter,NN
“,NN
he,PRP
’,VBZ
s,PDT
a,DT
legend,NN
”,NN
said,VBD
another,DT
post,NN
